class,support,f1_pred_1_orig,f1_pred_2_crop,f1_pred_3_gray,delta_crop_minus_orig,delta_gray_minus_crop,precision_orig,recall_orig,precision_crop,recall_crop,precision_gray,recall_gray
Anger,2,0.5,0.6666666666666666,0.0,0.16666666666666663,-0.6666666666666666,0.5,0.5,1.0,0.5,0.0,0.0
Fear,2,0.0,0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,1.0,0.5,0.0,0.0
Happy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuetual,2,0.4444444444444445,0.25,0.4,-0.19444444444444448,0.15000000000000002,0.2857142857142857,1.0,0.16666666666666666,0.5,0.3333333333333333,0.5
Sad,2,0.4,0.0,0.4444444444444445,-0.4,0.4444444444444445,0.3333333333333333,0.5,0.0,0.0,0.2857142857142857,1.0
Shocked,2,0.6666666666666666,0.6666666666666666,0.5,0.0,-0.16666666666666663,1.0,0.5,0.5,1.0,0.5,0.5
